Name,X (km),Y (km)
Depot A,6.800,19.100
Depot B,1.000,13.400
Depot C,17.500,1.500
AOI A,7.350,14.480
AOI B,13.610,1.230
AOI C,9.720,9.200
AOI D,16.650,17.290
Route,6.800,19.100
,6.943,18.987
,7.087,18.873
,7.230,18.760
,7.116,18.603
,7.003,18.445
,6.889,18.288
,6.775,18.131
,6.662,17.974
,6.548,17.816
,6.435,17.659
,6.321,17.502
,6.207,17.345
,6.094,17.187
,5.980,17.030
,5.930,16.852
,5.880,16.673
,5.830,16.495
,5.780,16.317
,5.730,16.138
,5.680,15.960
,5.625,15.800
,5.570,15.640
,5.515,15.480
,5.460,15.320
,5.347,15.173
,5.233,15.025
,5.120,14.878
,5.007,14.730
,4.893,14.583
,4.780,14.435
,4.667,14.288
,4.553,14.140
,4.440,13.993
,4.327,13.845
,4.213,13.698
,4.100,13.550
,4.080,13.410
,4.060,13.270
,4.040,13.130
,4.178,12.990
,4.317,12.850
,4.455,12.710
,4.593,12.570
,4.732,12.430
,4.870,12.290
,5.008,12.150
,5.147,12.010
,5.285,11.870
,5.423,11.730
,5.562,11.590
,5.700,11.450
,5.848,11.373
,5.995,11.295
,6.143,11.218
,6.290,11.140
,1.000,13.400
,1.050,13.236
,1.100,13.071
,1.150,12.907
,1.200,12.743
,1.250,12.579
,1.300,12.414
,1.350,12.250
,1.440,12.085
,1.530,11.920
,1.620,11.755
,1.710,11.590
,1.850,11.451
,1.990,11.313
,2.130,11.174
,2.270,11.036
,2.410,10.897
,2.550,10.759
,2.690,10.620
,2.885,10.643
,3.080,10.667
,3.275,10.690
,3.470,10.713
,3.665,10.737
,3.860,10.760
,4.053,10.731
,4.247,10.702
,4.440,10.673
,4.633,10.644
,4.827,10.616
,5.020,10.587
,5.213,10.558
,5.407,10.529
,5.600,10.500
,5.753,10.440
,5.907,10.380
,6.060,10.320
,6.106,10.484
,6.152,10.648
,6.198,10.812
,6.244,10.976
,6.290,11.140
,17.500,1.500
,17.333,1.600
,17.167,1.700
,17.000,1.800
,17.037,1.963
,17.073,2.127
,17.110,2.290
,17.260,2.403
,17.410,2.517
,17.560,2.630
,17.710,2.743
,17.860,2.857
,18.010,2.970
,17.837,2.963
,17.663,2.957
,17.490,2.950
,17.323,3.036
,17.156,3.121
,16.989,3.207
,16.823,3.293
,16.656,3.378
,16.489,3.464
,16.322,3.549
,16.155,3.635
,15.988,3.721
,15.821,3.806
,15.654,3.892
,15.488,3.978
,15.321,4.063
,15.154,4.149
,14.987,4.234
,14.820,4.320
,14.671,4.425
,14.523,4.530
,14.374,4.635
,14.225,4.740
,14.076,4.845
,13.928,4.950
,13.779,5.055
,13.630,5.160
,13.490,5.299
,13.349,5.437
,13.209,5.576
,13.068,5.715
,12.928,5.853
,12.787,5.992
,12.647,6.131
,12.507,6.270
,12.366,6.408
,12.226,6.547
,12.085,6.686
,11.945,6.824
,11.804,6.963
,11.664,7.102
,11.523,7.240
,11.383,7.379
,11.243,7.518
,11.102,7.657
,10.962,7.795
,10.821,7.934
,10.681,8.073
,10.540,8.211
,10.400,8.350
,10.364,8.532
,10.328,8.714
,10.292,8.896
,10.256,9.078
,10.220,9.260
,10.113,9.367
,10.007,9.473
,9.900,9.580
,9.737,9.664
,9.574,9.748
,9.411,9.832
,9.248,9.916
,9.085,10.000
,8.922,10.084
,8.759,10.168
,8.596,10.252
,8.433,10.336
,8.270,10.420
,8.090,10.485
,7.910,10.551
,7.730,10.616
,7.550,10.682
,7.370,10.747
,7.190,10.813
,7.010,10.878
,6.830,10.944
,6.650,11.009
,6.470,11.075
,6.290,11.140
